Id,Label,Authority,Hub,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
29383007,,0,0.000068,231,0.000007,0,3,3,0,3,3
1598904,,0.002071,0,89,0.000588,48,0,48,48,0,48
28035989,,0,0.000039,89,0.000007,0,1,1,0,1,1
27659521,,0.000353,0.018183,1,0.00001,4,47,51,4,47,51
26987529,,0.000007,0.020947,231,0.000017,4,65,69,4,65,69
26970122,,0,0.000235,5,0.000007,0,5,5,0,5,5
21532565,,0,0.033214,1,0.000007,0,19,19,0,19,19
19675719,,0,0.00004,89,0.000007,0,2,2,0,2,2
19119412,,0,0.000039,89,0.000007,0,1,1,0,1,1
18783406,,0,0.000039,89,0.000007,0,1,1,0,1,1
17018815,,0,0.010372,89,0.000007,0,55,55,0,55,55
16696013,,0,0.000088,89,0.000007,0,8,8,0,8,8
16451559,,0,0.000039,89,0.000007,0,1,1,0,1,1
14752704,,0,0.000039,89,0.000007,0,1,1,0,1,1
10777714,,0,0.000039,89,0.000007,0,1,1,0,1,1
10644313,,0,0.000039,89,0.000007,0,1,1,0,1,1
10621839,,0,0.000039,89,0.000007,0,1,1,0,1,1
10621838,,0,0.000039,89,0.000007,0,1,1,0,1,1
9818024,,0,0.000039,89,0.000007,0,1,1,0,1,1
9497246,,0.052349,0.006757,5,0.001096,498,21,519,498,21,519
9391879,,0.00046,0.005865,89,0.000009,4,21,25,4,21,25
9150150,,0.002828,0.005711,89,0.00008,24,18,42,24,18,42
8932340,,0.00035,0.000412,89,0.000014,4,6,10,4,6,10
8630282,,0.003252,0.00129,89,0.00007,21,11,32,21,11,32
8605099,,0.000065,0.000268,66,0.00002,4,4,8,4,4,8
8506271,,0,0.000039,89,0.000007,0,1,1,0,1,1
8460646,,0.000111,0.000049,89,0.000177,10,2,12,10,2,12
8460645,,0,0.000039,89,0.000007,0,1,1,0,1,1
8460644,,0,0.000039,89,0.000007,0,1,1,0,1,1
8460642,,0,0.000039,89,0.000007,0,1,1,0,1,1
8460640,,0.000677,0.000039,89,0.00004,10,1,11,10,1,11
8460637,,0.000477,0.000047,89,0.000294,19,4,23,19,4,23
8460636,,0,0.000039,89,0.000007,0,1,1,0,1,1
8460635,,0.00009,0.000049,89,0.000094,11,2,13,11,2,13
8460634,,0,0.000066,89,0.000007,0,6,6,0,6,6
8447325,,0,0.000039,89,0.000007,0,1,1,0,1,1
8213839,,0,0.00005,89,0.000007,0,3,3,0,3,3
8170984,,0,0.000039,89,0.000007,0,1,1,0,1,1
8116622,,0.00032,0.000086,89,0.000012,3,8,11,3,8,11
8096359,,0,0.000039,89,0.000007,0,1,1,0,1,1
8096358,,0.000192,0.000039,89,0.00008,7,1,8,7,1,8
8018518,,0,0.000039,89,0.000007,0,1,1,0,1,1
7947085,,0,0.000039,89,0.000007,0,1,1,0,1,1
7942844,,0.000604,0.000121,89,0.000031,13,10,23,13,10,23
7852187,,0.000129,0.000052,89,0.000009,3,3,6,3,3,6
7825587,,0.027033,0.003412,89,0.00072,240,8,248,240,8,248
7825586,,0.005163,0.000289,89,0.000295,54,17,71,54,17,71
7669582,,0,0.000039,89,0.000007,0,1,1,0,1,1
1598903,,0,0.000039,89,0.000007,0,1,1,0,1,1
28521483,,0,0.000001,66,0.000007,0,1,1,0,1,1
7473818,,0.000053,0,66,0.000108,14,0,14,14,0,14
22125594,,0,0.000001,66,0.000007,0,2,2,0,2,2
20227509,,0,0.000008,66,0.000007,0,2,2,0,2,2
19261255,,0.000966,0.000003,66,0.000115,26,2,28,26,2,28
17596546,,0,0.000001,66,0.000007,0,1,1,0,1,1
15548805,,0,0.000001,66,0.000007,0,1,1,0,1,1
14580249,,0,0.000029,66,0.000007,0,3,3,0,3,3
10604741,,0,0.002651,66,0.000007,0,3,3,0,3,3
10574256,,0,0.000001,66,0.000007,0,1,1,0,1,1
9665480,,0,0.000024,66,0.000007,0,2,2,0,2,2
9327736,,0,0.000001,66,0.000007,0,1,1,0,1,1
9095001,,0,0.000024,66,0.000007,0,2,2,0,2,2
9010038,,0,0.000008,89,0.000007,0,2,2,0,2,2
8780379,,0,0.000024,66,0.000007,0,2,2,0,2,2
7478429,,0.000115,0,66,0.000068,6,0,6,6,0,6
11747329,,0,0.000017,66,0.000007,0,3,3,0,3,3
11272899,,0,0.000005,66,0.000007,0,3,3,0,3,3
10360664,,0.000038,0.005881,89,0.000012,3,17,20,3,17,20
10070859,,0,0.000101,89,0.000007,0,6,6,0,6,6
9514060,,0,0.000002,66,0.000007,0,1,1,0,1,1
29985912,,0,0.000004,89,0.000007,0,1,1,0,1,1
7478543,,0.000212,0,89,0.000042,9,0,9,9,0,9
25762626,,0,0.000004,89,0.000007,0,1,1,0,1,1
17190795,,0,0.000009,89,0.000007,0,2,2,0,2,2
14633957,,0,0.003722,89,0.000021,3,17,20,3,17,20
11159178,,0,0.000004,89,0.000007,0,1,1,0,1,1
10952778,,0,0.000037,90,0.000007,0,4,4,0,4,4
10487854,,0,0.000004,89,0.000007,0,1,1,0,1,1
10398279,,0.001074,0.002122,89,0.000042,11,17,28,11,17,28
9743298,,0.000414,0.005235,89,0.000051,10,12,22,10,12,22
30323899,,0,0.00644,279,0.000007,0,37,37,0,37,37
7481765,,0.005373,0,100,0.000227,55,0,55,55,0,55
30037003,,0,0.000474,100,0.000007,0,2,2,0,2,2
29773825,,0,0.000102,100,0.000007,0,1,1,0,1,1
28879638,,0,0.014347,279,0.000007,0,90,90,0,90,90
28863181,,0,0.00262,279,0.000007,0,29,29,0,29,29
26911432,,0,0.000102,100,0.000007,0,1,1,0,1,1
26057449,,0.000123,0.004042,279,0.000007,1,34,35,1,34,35
25594033,,0.000133,0.003414,100,0.000023,4,11,15,4,11,15
25380576,,0,0.002944,279,0.000007,0,16,16,0,16,16
24997799,,0,0.001804,100,0.000007,0,5,5,0,5,5
24709009,,0,0.000683,100,0.000007,0,6,6,0,6,6
24704793,,0.000141,0.019685,100,0.000038,7,122,129,7,122,129
24647341,,0,0.000102,100,0.000007,0,1,1,0,1,1
24389207,,0.000756,0.060706,100,0.000024,11,134,145,11,134,145
24278741,,0.001038,0.01653,100,0.000016,9,87,96,9,87,96
23855721,,0.000453,0.011396,279,0.000013,6,43,49,6,43,49
23276146,,0.000066,0.000129,100,0.000047,8,3,11,8,3,11
20482811,,0,0.000102,100,0.000007,0,1,1,0,1,1
20007691,,0.001473,0.001393,100,0.000033,13,8,21,13,8,21
19170108,,0,0.006482,100,0.000007,0,35,35,0,35,35
17664283,,0,0.00823,100,0.000007,0,20,20,0,20,20
17646391,,0,0.000102,100,0.000007,0,1,1,0,1,1
17625228,,0.000857,0.005706,89,0.000014,7,28,35,7,28,35
17505559,,0.000208,0.001549,100,0.000174,24,9,33,24,9,33
15800211,,0,0.000186,100,0.000007,0,2,2,0,2,2
15591126,,0.003809,0.006646,100,0.000087,31,20,51,31,20,51
15340083,,0,0.000567,100,0.000007,0,2,2,0,2,2
12698194,,0.000453,0.005091,100,0.000029,7,21,28,7,21,28
12438698,,0.00111,0.00143,100,0.000219,45,7,52,45,7,52
11429425,,0,0.000102,100,0.000007,0,1,1,0,1,1
11376024,,0.001866,0.005458,279,0.000019,11,24,35,11,24,35
11359908,,0,0.010018,100,0.000007,0,45,45,0,45,45
11250747,,0.000003,0.003381,89,0.000008,1,6,7,1,6,7
11207044,,0,0.001191,87,0.000007,0,3,3,0,3,3
10864206,,0,0.000127,90,0.000007,0,2,2,0,2,2
10835497,,0.000483,0.004052,279,0.00006,6,19,25,6,19,25
10804288,,0.00046,0.002628,89,0.000012,5,20,25,5,20,25
10595935,,0,0.000612,100,0.000007,0,4,4,0,4,4
10570174,,0,0.003871,89,0.000007,0,21,21,0,21,21
10373534,,0,0.009419,100,0.000007,0,41,41,0,41,41
10193517,,0.00095,0.011514,100,0.000052,20,53,73,20,53,73
9789027,,0.005248,0.006929,100,0.000199,62,21,83,62,21,83
9765620,,0.000115,0.003151,89,0.000007,1,19,20,1,19,20
9482880,,0,0.005932,100,0.000007,0,11,11,0,11,11
9400936,,0,0.003597,89,0.000007,0,11,11,0,11,11
9342365,,0.006197,0.006386,100,0.00012,37,25,62,37,25,62
9207057,,0.007527,0.007713,100,0.000207,52,26,78,52,26,78
8972225,,0.007981,0.004529,100,0.000104,48,15,63,48,15,63
8942979,,0.014453,0.004839,100,0.000621,96,15,111,96,15,111
8909243,,0,0.000102,100,0.000007,0,1,1,0,1,1
8862516,,0,0.000164,100,0.000007,0,2,2,0,2,2
8756626,,0,0.000102,100,0.000007,0,1,1,0,1,1
8633092,,0,0.000102,100,0.000007,0,1,1,0,1,1
8622702,,0,0.002764,89,0.000007,0,3,3,0,3,3
8622657,,0,0.000102,100,0.000007,0,1,1,0,1,1
30087710,,0,0.000002,90,0.000007,0,1,1,0,1,1
7490069,,0.000099,0,90,0.000334,58,0,58,58,0,58
29718098,,0,0.000002,90,0.000007,0,1,1,0,1,1
29343747,,0,0.000002,90,0.000007,0,1,1,0,1,1
29088849,,0,0.000002,90,0.000007,0,1,1,0,1,1
28404954,,0,0.000002,90,0.000007,0,1,1,0,1,1
28232485,,0,0.000002,90,0.000007,0,1,1,0,1,1
27808423,,0,0.000011,90,0.000007,0,2,2,0,2,2
27626692,,0,0.000002,90,0.000007,0,1,1,0,1,1
27181092,,0,0.000002,90,0.000007,0,1,1,0,1,1
26697375,,0,0.000002,90,0.000007,0,1,1,0,1,1
26617938,,0,0.000002,90,0.000007,0,1,1,0,1,1
25622104,,0,0.000002,90,0.000007,0,1,1,0,1,1
25610759,,0,0.000002,90,0.000007,0,1,1,0,1,1
25385028,,0,0.000002,90,0.000007,0,1,1,0,1,1
25196260,,0,0.000002,90,0.000007,0,1,1,0,1,1
24815849,,0,0.000002,90,0.000007,0,1,1,0,1,1
24311986,,0,0.000002,90,0.000007,0,1,1,0,1,1
24212830,,0,0.000002,90,0.000007,0,1,1,0,1,1
23760265,,0,0.000002,90,0.000007,0,1,1,0,1,1
23593540,,0,0.000002,90,0.000007,0,1,1,0,1,1
23530232,,0,0.000002,90,0.000007,0,1,1,0,1,1
23259914,,0,0.000002,90,0.000007,0,1,1,0,1,1
23077249,,0,0.003171,90,0.000007,0,2,2,0,2,2
22897902,,0,0.000002,90,0.000007,0,1,1,0,1,1
21976778,,0,0.000002,90,0.000007,0,1,1,0,1,1
21189395,,0,0.000002,90,0.000007,0,1,1,0,1,1
20976003,,0,0.000006,90,0.000007,0,2,2,0,2,2
20461080,,0,0.000002,90,0.000007,0,1,1,0,1,1
19920201,,0,0.000002,90,0.000007,0,1,1,0,1,1
19851499,,0,0.000002,90,0.000007,0,1,1,0,1,1
19845967,,0,0.000002,90,0.000007,0,1,1,0,1,1
19789346,,0,0.000002,90,0.000007,0,1,1,0,1,1
19701494,,0,0.000002,90,0.000007,0,1,1,0,1,1
19531578,,0,0.000002,90,0.000007,0,1,1,0,1,1
19395651,,0,0.000005,90,0.000007,0,2,2,0,2,2
19286473,,0,0.000002,90,0.000007,0,1,1,0,1,1
18483181,,0,0.000002,90,0.000007,0,1,1,0,1,1
18419822,,0,0.000002,90,0.000007,0,1,1,0,1,1
18284467,,0,0.000002,90,0.000007,0,1,1,0,1,1
17956604,,0,0.000002,90,0.000007,0,1,1,0,1,1
17589922,,0,0.000002,90,0.000007,0,1,1,0,1,1
17211471,,0,0.001891,90,0.000007,0,3,3,0,3,3
16330715,,0,0.000002,90,0.000007,0,1,1,0,1,1
15138294,,0,0.000002,90,0.000007,0,1,1,0,1,1
14745013,,0,0.000002,90,0.000007,0,1,1,0,1,1
14578197,,0,0.000002,90,0.000007,0,1,1,0,1,1
12566408,,0,0.000021,35,0.000007,0,2,2,0,2,2
11943846,,0,0.000002,90,0.000007,0,1,1,0,1,1
11481346,,0,0.000002,90,0.000007,0,1,1,0,1,1
10934170,,0,0.000002,90,0.000007,0,1,1,0,1,1
10702400,,0,0.000002,35,0.000007,0,2,2,0,2,2
10677505,,0,0.000002,90,0.000007,0,1,1,0,1,1
9862577,,0,0.000002,90,0.000007,0,1,1,0,1,1
9848085,,0,0.000002,90,0.000007,0,1,1,0,1,1
9846990,,0,0.000002,90,0.000007,0,1,1,0,1,1
9626059,,0,0.000002,90,0.000007,0,1,1,0,1,1
9353251,,0,0.000002,90,0.000007,0,1,1,0,1,1
9237999,,0,0.000002,90,0.000007,0,1,1,0,1,1
29706637,,0,0.000003,205,0.000007,0,1,1,0,1,1
7490091,,0.000182,0,205,0.000042,12,0,12,12,0,12
28435519,,0.000003,0.00489,205,0.000009,1,17,18,1,17,18
25590583,,0,0.000919,1,0.000007,0,4,4,0,4,4
23946869,,0,0.000575,140,0.000007,0,15,15,0,15,15
23946868,,0.000543,0.00178,205,0.000033,8,8,16,8,8,16
21963259,,0,0.001137,100,0.000007,0,4,4,0,4,4
21102526,,0,0.000003,205,0.000007,0,1,1,0,1,1
19325002,,0,0.000006,205,0.000007,0,2,2,0,2,2
11739747,,0,0.000198,90,0.000007,0,5,5,0,5,5
9765397,,0,0.000006,205,0.000007,0,3,3,0,3,3
9724329,,0,0.000003,205,0.000007,0,2,2,0,2,2
9445487,,0,0.000003,205,0.000007,0,1,1,0,1,1
29748565,,0.000706,0.022935,1,0.000012,4,17,21,4,17,21
7493024,,0.014378,0,89,0.000383,100,0,100,100,0,100
29483665,,0,0.004237,5,0.000007,0,22,22,0,22,22
29446198,,0,0.007253,89,0.000007,0,71,71,0,71,71
29275340,,0,0.003499,5,0.000007,0,23,23,0,23,23
29228641,,0.00056,0.040415,1,0.000007,1,71,72,1,71,72
28576136,,0,0.000274,89,0.000007,0,1,1,0,1,1
28546758,,0.000001,0.06472,1,0.000008,1,94,95,1,94,95
27534398,,0.000277,0.007609,231,0.000009,4,38,42,4,38,42
26913838,,0.000271,0.003061,140,0.000017,10,62,72,10,62,72
26315354,,0,0.005243,89,0.000007,0,13,13,0,13,13
25849179,,0.011118,0.006738,231,0.000058,56,20,76,56,20,76
25789811,,0.000272,0.005463,89,0.000008,2,27,29,2,27,29
25352972,,0.000173,0.004937,89,0.00001,3,8,11,3,8,11
24915755,,0.000119,0.016264,279,0.000022,3,20,23,3,20,23
24675953,,0.010306,0.022127,5,0.000103,81,56,137,81,56,137
24212087,,0.000715,0.001009,140,0.000019,18,22,40,18,22,40
23802008,,0.001553,0.040833,100,0.00002,17,83,100,17,83,100
23776357,,0.000122,0.010731,5,0.000009,2,52,54,2,52,54
23483928,,0,0.005732,231,0.000007,0,24,24,0,24,24
23319948,,0,0.010854,89,0.000007,0,9,9,0,9,9
23231005,,0.000001,0.005095,89,0.000026,4,10,14,4,10,14
23149842,,0.000401,0.003577,89,0.00003,13,21,34,13,21,34
22966347,,0,0.00075,89,0.000007,0,7,7,0,7,7
22915751,,0.031392,0.027531,1,0.000225,103,22,125,103,22,125
22866131,,0,0.002761,89,0.000007,0,10,10,0,10,10
22682623,,0.001586,0.008696,89,0.00002,15,46,61,15,46,61
22460208,,0.00019,0.006106,89,0.000007,1,18,19,1,18,19
22430266,,0.000754,0.012388,5,0.000011,7,44,51,7,44,51
22262859,,0,0.005657,100,0.000067,10,14,24,10,14,24
21169536,,0.00322,0.008492,231,0.000051,23,22,45,23,22,45
20104584,,0.001547,0.002553,231,0.000052,30,20,50,30,20,50
19965908,,0,0.000532,89,0.000007,0,4,4,0,4,4
19876733,,0.000245,0.005916,231,0.000022,4,16,20,4,16,20
19770520,,0.005228,0.007738,140,0.000064,29,33,62,29,33,62
19383375,,0.007892,0.018581,1,0.000034,37,85,122,37,85,122
19383374,,0.00626,0.026402,1,0.000095,50,118,168,50,118,168
19329713,,0.001736,0.009207,89,0.000018,8,23,31,8,23,31
18783588,,0.001205,0.00556,89,0.00001,12,29,41,12,29,41
18710587,,0.000527,0.004425,5,0.000009,3,25,28,3,25,28
18708369,,0,0.003423,89,0.000007,0,28,28,0,28,28
16227521,,0.000731,0.00589,89,0.000013,8,17,25,8,17,25
16168130,,0.001646,0.005453,5,0.000036,21,14,35,21,14,35
16168118,,0.002174,0.009571,89,0.000018,20,41,61,20,41,61
14744934,,0,0.000944,89,0.000007,0,7,7,0,7,7
14612409,,0.001898,0.005537,100,0.000071,27,26,53,27,26,53
14609432,,0.000304,0.007878,69,0.000048,12,30,42,12,30,42
12698193,,0.001112,0.003968,89,0.000011,9,28,37,9,28,37
12677558,,0.097911,0.00897,5,0.001217,651,37,688,651,37,688
12100744,,0.001137,0.004887,89,0.00002,10,20,30,10,20,30
12080089,,0.001532,0.003513,90,0.000122,19,19,38,19,19,38
11879560,,0.001748,0.001531,89,0.000072,27,11,38,27,11,38
11739404,,0.002956,0.008691,100,0.000519,63,33,96,63,33,96
11389159,,0.001061,0.006936,89,0.000011,7,24,31,7,24,31
11250724,,0.002468,0.013282,100,0.000099,18,41,59,18,41,59
11250722,,0.000303,0.00902,89,0.00003,5,37,42,5,37,42
11250694,,0.001275,0.007371,89,0.000012,11,35,46,11,35,46
11179017,,0.037402,0.004227,1,0.000332,182,33,215,182,33,215
11056686,,0,0.010777,100,0.000007,0,35,35,0,35,35
11044354,,0.015697,0.007963,89,0.000333,129,28,157,129,28,157
10788334,,0.005179,0.007311,89,0.000084,59,27,86,59,27,86
10739756,,0.007776,0.005188,89,0.000106,42,28,70,42,28,70
10577927,,0.000896,0.004126,89,0.000035,10,24,34,10,24,34
10528853,,0.000098,0.005104,89,0.000014,4,8,12,4,8,12
10486320,,0.003365,0.006818,89,0.00003,23,20,43,23,20,43
10441573,,0.00081,0.00166,89,0.00001,6,9,15,6,9,15
10205268,,0.00153,0.001546,231,0.000156,36,6,42,36,6,42
10090879,,0,0.004975,89,0.000007,0,25,25,0,25,25
9799248,,0.001868,0.004456,41,0.000314,70,8,78,70,8,78
9792861,,0.004056,0.005747,89,0.000062,39,31,70,39,31,70
9667663,,0.000006,0.003802,89,0.00001,1,10,11,1,10,11
9649133,,0.000713,0.004282,89,0.000052,13,16,29,13,16,29
9635841,,0,0.000274,89,0.000007,0,1,1,0,1,1
9429140,,0.000056,0.005982,89,0.00001,1,17,18,1,17,18
9357627,,0,0.001832,89,0.000007,0,6,6,0,6,6
9245992,,0.004556,0.006246,89,0.000163,55,12,67,55,12,67
9197534,,0.00011,0.001472,89,0.000008,2,16,18,2,16,18
9155062,,0.000084,0.001564,89,0.000016,3,7,10,3,7,10
9150174,,0.001625,0.005258,89,0.000022,13,13,26,13,13,26
9150173,,0.004381,0.004495,89,0.000029,26,16,42,26,16,42
9150172,,0,0.002496,89,0.000007,0,13,13,0,13,13
9150171,,0.001918,0.004568,89,0.000042,21,8,29,21,8,29
9150154,,0.003563,0.005145,89,0.000144,36,17,53,36,17,53
9150153,,0.00392,0.005684,89,0.000099,47,16,63,47,16,63
9150151,,0.004214,0.005924,89,0.000087,31,26,57,31,26,57
9150149,,0.003001,0.007244,89,0.000094,31,18,49,31,18,49
9150148,,0.007664,0.003938,89,0.000146,78,39,117,78,39,117
9132280,,0,0.000274,89,0.000007,0,1,1,0,1,1
9042909,,0.00423,0.002408,89,0.000074,50,18,68,50,18,68
9042907,,0.002151,0.004783,89,0.000106,30,15,45,30,15,45
9012404,,0.002212,0.004257,89,0.000093,39,9,48,39,9,48
8981943,,0,0.000274,89,0.000007,0,1,1,0,1,1
8933332,,0.000774,0.00825,89,0.000017,8,35,43,8,35,43
8880569,,0.000114,0.005025,89,0.000008,1,10,11,1,10,11
8806241,,0.000361,0.004547,89,0.000019,6,9,15,6,9,15
8651293,,0.001202,0.00563,89,0.000021,13,20,33,13,20,33
8644703,,0.002026,0.003989,89,0.00008,18,10,28,18,10,28
8616352,,0,0.00417,89,0.000007,0,9,9,0,9,9
24179442,,0,0.0015,89,0.000007,0,19,19,0,19,19
7495979,,0.000029,0,89,0.000007,1,0,1,1,0,1
28900330,,0,0.000146,69,0.000007,0,3,3,0,3,3
7507078,,0.000005,0,69,0.000012,2,0,2,2,0,2
28785294,,0,0.000004,89,0.000007,0,1,1,0,1,1
7511021,,0.000202,0,89,0.000075,13,0,13,13,0,13
18461349,,0,0.000182,89,0.000007,0,3,3,0,3,3
14684683,,0,0.000082,89,0.000007,0,2,2,0,2,2
9190201,,0,0.000004,89,0.000007,0,1,1,0,1,1
8794866,,0,0.000004,89,0.000007,0,1,1,0,1,1
8603923,,0,0.000004,89,0.000007,0,1,1,0,1,1
8554067,,0.001675,0.004107,89,0.000077,19,13,32,19,13,32
8533757,,0.0041,0.006171,89,0.000075,35,19,54,35,19,54
7539810,,0,0.000004,89,0.000007,0,1,1,0,1,1
7534039,,0,0.000004,89,0.000007,0,1,1,0,1,1
7529919,,0,0.000004,89,0.000007,0,1,1,0,1,1
7529318,,0,0.000004,89,0.000007,0,1,1,0,1,1
7513705,,0,0.000004,89,0.000007,0,1,1,0,1,1
23119097,,0,0,0,0.000007,0,1,1,0,1,1
7511052,,0,0,0,0.000019,2,0,2,2,0,2
18364049,,0,0,0,0.000007,0,1,1,0,1,1
27716388,,0.000282,0.008413,89,0.000024,8,18,26,8,18,26
7519878,,0.000387,0,89,0.000067,5,0,5,5,0,5
7977348,,0.000686,0.000602,89,0.000128,14,3,17,14,3,17
7611277,,0.002373,0.005506,89,0.000113,30,13,43,30,13,43
7490308,,0,0.005474,89,0.000007,0,21,21,0,21,21
23805307,,0.000269,0.003867,90,0.000026,11,24,35,11,24,35
7529047,,0.000546,0,89,0.000034,10,0,10,10,0,10
22669161,,0.000017,0.000804,231,0.000058,12,12,24,12,12,24
21949216,,0,0.000019,89,0.000007,0,2,2,0,2,2
21472990,,0.004518,0.007206,72,0.00024,80,22,102,80,22,102
11710835,,0.000072,0.004371,89,0.000014,2,15,17,2,15,17
11346464,,0,0.000032,89,0.000007,0,6,6,0,6,6
9643283,,0.000343,0.006727,89,0.000017,6,17,23,6,17,23
8980399,,0,0.00001,89,0.000007,0,1,1,0,1,1
30458859,,0,0.006262,140,0.000007,0,30,30,0,30,30
7545954,,0.138893,0,89,0.002458,930,0,930,930,0,930
30453575,,0,0.018691,140,0.000007,0,48,48,0,48,48
30443181,,0,0.005316,5,0.000007,0,17,17,0,17,17
30441849,,0,0.009938,1,0.000007,0,22,22,0,22,22
30416390,,0,0.005187,5,0.000007,0,17,17,0,17,17
30405761,,0,0.003258,100,0.000007,0,5,5,0,5,5
30400234,,0,0.00639,89,0.000007,0,26,26,0,26,26
30344568,,0,0.00544,89,0.000007,0,17,17,0,17,17
30323273,,0,0.00413,89,0.000007,0,10,10,0,10,10
30320429,,0,0.003474,5,0.000007,0,18,18,0,18,18
30283497,,0,0.006742,140,0.000007,0,29,29,0,29,29
30254159,,0,0.002758,90,0.000007,0,5,5,0,5,5
30249004,,0,0.003591,5,0.000007,0,14,14,0,14,14
30241137,,0,0.00433,5,0.000007,0,14,14,0,14,14
30211169,,0,0.007888,1,0.000007,0,28,28,0,28,28
30210910,,0,0.010508,231,0.000007,0,5,5,0,5,5
30186165,,0,0.006215,35,0.000007,0,31,31,0,31,31
30166705,,0,0.005127,89,0.000007,0,9,9,0,9,9
30149579,,0,0.022644,69,0.000007,0,17,17,0,17,17
30145940,,0,0.003403,89,0.000007,0,2,2,0,2,2
30130155,,0,0.006592,89,0.000007,0,20,20,0,20,20
30128181,,0,0.002651,168,0.000007,0,2,2,0,2,2
30124007,,0,0.002649,90,0.000007,0,2,2,0,2,2
30116257,,0,0.003622,231,0.000007,0,17,17,0,17,17
30084716,,0,0.002755,5,0.000007,0,6,6,0,6,6
30075112,,0,0.009354,35,0.000007,0,17,17,0,17,17
30048498,,0,0.002652,5,0.000007,0,3,3,0,3,3
30042185,,0.000018,0.01461,1,0.000007,1,28,29,1,28,29
29977717,,0,0.002649,89,0.000007,0,1,1,0,1,1
29955703,,0,0.006136,279,0.000013,1,20,21,1,20,21
29938003,,0,0.004432,35,0.000007,0,20,20,0,20,20
29872710,,0.000004,0.006932,140,0.000022,3,9,12,3,9,12
29844838,,0,0.002961,24,0.000013,1,4,5,1,4,5
29785135,,0,0.00316,89,0.00001,1,18,19,1,18,19
29770616,,0,0.00862,1,0.000013,1,23,24,1,23,24
29757984,,0,0.005579,100,0.000007,0,21,21,0,21,21
29755873,,0,0.005728,140,0.000007,0,14,14,0,14,14
29755871,,0,0.013003,89,0.000007,0,44,44,0,44,44
29682331,,0,0.005119,5,0.000007,0,16,16,0,16,16
29681614,,0,0.008567,89,0.000007,0,31,31,0,31,31
29673145,,0,0.003615,100,0.000007,0,12,12,0,12,12
29671401,,0,0.003405,89,0.000007,0,3,3,0,3,3
29660759,,0,0.042925,1,0.000007,0,35,35,0,35,35
29650789,,0,0.012664,35,0.000007,0,8,8,0,8,8
29623263,,0,0.005673,205,0.000007,0,10,10,0,10,10
29622581,,0,0.00344,35,0.000007,0,6,6,0,6,6
